# Black Hole
# 1:iter 2:time 3:x 4:y 5:z 6:vx 7:vy 8:vz
0 0 -0.1370318650513744629 13.48398704814971794 4.403835965683658308e-18 1.4352628704785753e-08 -3.766900492891291338e-09 1.409227509018770659e-16
1 0.03125 -0.1370318620508455543 13.48398704754716881 7.350481940088619327e-17 9.601692541696266012e-08 -1.928155083003834524e-08 2.211231469926481291e-15
2 0.0625 -0.1370318533326307653 13.48398704604386111 2.399084001810508546e-16 2.789828733756894663e-07 -4.810587240248341437e-08 5.324914584965269556e-15
3 0.09375 -0.1370318358379821189 13.48398704330940312 4.297075133771185541e-16 5.598287563568426373e-07 -8.750264560788745727e-08 6.073571622274166386e-15
4 0.125 -0.1370318078294934794 13.48398703911664498 4.516315926893011899e-16 8.962716367031942823e-07 -1.34168274617782741e-07 7.015705379898454282e-16
5 0.15625 -0.1370317700024834273 13.48398703326434678 2.041465391099193718e-17 1.21046432210284892e-06 -1.872735248138866757e-07 -1.379894204090589609e-14
6 0.1875 -0.1370317264523370215 13.48398702546497496 -1.215747806591696762e-15 1.393604685165960687e-06 -2.495798806779302609e-07 -3.955719873608603838e-14
7 0.21875 -0.1370316855439654979 13.48398701525384347 -3.660733445449379345e-15 1.309067888408430258e-06 -3.267561995539218265e-07 -7.823954044344584897e-14
8 0.25 -0.1370316607717452506 13.48398700194251276 -7.778074943998206297e-15 7.927110481826466663e-07 -4.259625712489298472e-07 -1.317549279535624624e-13
9 0.28125 -0.1370316716961479941 13.48398698460206901 -1.412545127164070976e-14 -3.495808878008908001e-07 -5.548941883939345487e-07 -2.031160424845601108e-13
10 0.3125 -0.1370317450125895231 13.48398696204202807 -2.341516273894446579e-14 -2.346126128732333452e-06 -7.219212838982276621e-07 -2.972707669537202434e-13
11 0.34375 -0.1370319157686034073 13.48398693275464488 -3.659185872624286691e-14 -5.464192443850675966e-06 -9.371962558743470816e-07 -4.216542715935487854e-13
12 0.375 -0.1370322287130656402 13.48398689481411061 -5.491309130675653531e-14 -1.00142227917741254e-05 -1.214097083597806267e-06 -5.862794425764372878e-13
13 0.40625 -0.1370327397437831884 13.4839868457408727 -8.001842263819823167e-14 -1.63529829613712396e-05 -1.570343607217030302e-06 -8.033706026061342835e-13
14 0.4375 -0.1370335174172495896 13.48398678235165704 -1.13978401416167409e-13 -2.488555092503121822e-05 -2.028454879756877777e-06 -1.086719320895013269e-12
15 0.46875 -0.1370346444911688111 13.48398670061308202 -1.593225354640603658e-13 -3.606636541529372348e-05 -2.615634407408661185e-06 -1.45101228953257482e-12
16 0.5 -0.1370362194790061827 13.48398659550604073 -2.190516221366509884e-13 -5.039961079570674704e-05 -3.363425345014730953e-06 -1.911330773522900327e-12
17 0.53125 -0.1370383582004456036 13.48398646089742492 -2.966430466357242532e-13 -6.843908606121338559e-05 -4.307475681603643144e-06 -2.482925583970343667e-12
18 0.5625 -0.1370411953097581681 13.48398628941105137 -3.960577357109437285e-13 -9.078749800203228168e-05 -5.487563925586556858e-06 -3.181270050407023614e-12
19 0.59375 -0.1370448857766934092 13.4839860722920406 -5.217552388033864995e-13 -0.0001180949419279365525 -6.94780834489256561e-06 -4.022320098958168671e-12
