# 1:iter 2:time 3:mass 4:Sx 5:Sy 6:Sz 7:S 8:area 9:hrms 10:hmean 11:meanradius 12:minradius
4 0 1.057334419339202e+00 -1.960674775361130e-12 -1.265735823317773e-10 4.989892702576560e-01 4.989892702576560e-01 5.324053886317298e+01 5.696738565295801e-02 -1.133469778999036e+01 3.495373985914154e-01 3.459178470190260e-01
4 0.01 1.051238040119329e+00 1.827739927685914e-13 -9.981922040192733e-11 4.998998961319974e-01 4.998998961319974e-01 5.254431660550747e+01 6.147761018917482e-02 -1.237650899685326e+01 3.669302020557950e-01 3.665109414206135e-01
4 0.02 1.044123565420072e+00 4.876742248390387e-13 -5.392405425559172e-12 5.000202880394380e-01 5.000202880394380e-01 5.174724646426115e+01 3.647614426046793e-02 -9.653897845648174e+00 3.891695222777835e-01 3.883495360846752e-01
4 0.03 1.038868195323105e+00 -1.188480171926326e-12 5.280365672076688e-11 4.994314378647504e-01 4.994314378647504e-01 5.116982167457497e+01 2.060450392773440e-02 -7.191063542964145e+00 4.081465157636502e-01 4.074591499369019e-01
4 0.04 1.035524519703707e+00 -2.329407332795945e-12 5.661900399679276e-11 4.991841585257375e-01 4.991841585257375e-01 5.080194940446228e+01 1.411302747112740e-02 -5.886074188845813e+00 4.231736530522098e-01 4.227043737693404e-01
4 0.05 1.033637578853562e+00 -1.582943186468590e-12 5.163293699089965e-11 4.991889660718350e-01 4.991889660718350e-01 5.059282705036422e+01 1.089441856195425e-02 -5.137215908392722e+00 4.360498378429634e-01 4.356844647495707e-01
4 0.06 1.032644530137022e+00 -1.110896467260048e-12 4.343161004085199e-11 4.996769718759940e-01 4.996769718759940e-01 5.047641107287577e+01 9.362946903340342e-03 -4.674896186286650e+00 4.477032598770749e-01 4.473200551235889e-01
4 0.07 1.032045844153761e+00 -1.056467637576139e-12 3.552153470391267e-11 5.000268080953545e-01 5.000268080953545e-01 5.040549969267857e+01 8.302925796951150e-03 -4.271781991944378e+00 4.586255702320549e-01 4.581568706664007e-01
4 0.08 1.031375049069058e+00 4.376160738181560e-13 2.801417653565925e-11 5.000550617698625e-01 5.000550617698625e-01 5.033092879800432e+01 6.155791704834318e-03 -3.662328447361747e+00 4.688938918247222e-01 4.683420316170009e-01
4 0.09 1.030956779367604e+00 1.880283826152184e-12 2.953623354253258e-11 5.000483668390915e-01 5.000483668390915e-01 5.028477282511854e+01 4.582136718147449e-03 -3.113287085258555e+00 4.779552037650264e-01 4.774020582560929e-01
4 0.1 1.030588497548755e+00 3.931996827924415e-12 3.657284142223721e-11 5.000180617584451e-01 5.000180617584451e-01 5.024447137560978e+01 3.270576561239575e-03 -2.592514512544660e+00 4.858295899590113e-01 4.852775825049526e-01
4 0.11 1.030395453713715e+00 9.340368365285401e-12 4.531212004775208e-11 4.999962296383890e-01 4.999962296383890e-01 5.022343052263076e+01 2.400413610447335e-03 -2.172128656114702e+00 4.925267459574323e-01 4.920080885422577e-01
4 0.12 1.030307418235445e+00 1.477611904079614e-11 5.643621396781080e-11 4.999463114901959e-01 4.999463114901959e-01 5.021437232479057e+01 1.806754557971853e-03 -1.830666960291357e+00 4.982317778077454e-01 4.977404100177072e-01
4 0.13 1.030271436762519e+00 1.584690787817754e-11 6.798981756511922e-11 4.998977703624195e-01 4.998977703624195e-01 5.021104789059378e+01 1.389866115678253e-03 -1.549262293914485e+00 5.031097423837791e-01 5.026387770033129e-01
4 0.14 1.030284754868719e+00 1.319894861129600e-11 7.738455383506963e-11 4.998631696960129e-01 4.998631696960129e-01 5.021298366065071e+01 1.098031652909567e-03 -1.318772687664719e+00 5.072925183615590e-01 5.068388932025747e-01
4 0.15 1.030323265886945e+00 1.141973680124488e-11 8.729761326458721e-11 4.998254444851946e-01 4.998254444851946e-01 5.021774491538490e+01 8.921758596858016e-04 -1.128987388815208e+00 5.108954716929399e-01 5.104557603203371e-01
4 0.16 1.030375859616874e+00 1.010160718927634e-11 9.821143479673373e-11 4.997870833890202e-01 4.997870833890202e-01 5.022407074103836e+01 7.453082172803096e-04 -9.720586666605948e-01 5.140141517064341e-01 5.135851306553234e-01
4 0.17 1.030444498636384e+00 7.817239181025709e-12 1.141857297278612e-10 4.997690988837662e-01 4.997690988837662e-01 5.023189639632972e+01 6.392602884158296e-04 -8.429689866383758e-01 5.167276451998517e-01 5.163068855918246e-01
4 0.18 1.030523336945455e+00 5.080254568392664e-12 1.233161716071396e-10 4.997689894535611e-01 4.997689894535611e-01 5.024060978624931e+01 5.616944731494906e-04 -7.365249204483764e-01 5.191053763614046e-01 5.186918232258422e-01
4 0.19 1.030592760941783e+00 3.461269746601704e-12 1.318066326299417e-10 4.997631974167045e-01 4.997631974167045e-01 5.024835940402197e+01 5.035339915922369e-04 -6.463104942563338e-01 5.212034283088192e-01 5.207961401638257e-01
4 0.2 1.030653275685651e+00 1.949917343372973e-12 1.423821321616849e-10 4.997532736395617e-01 4.997532736395617e-01 5.025518010145815e+01 4.595402718291461e-04 -5.697835415711792e-01 5.230629499049476e-01 5.226603516443876e-01
4 0.21 1.030711097263244e+00 1.532095773816127e-13 1.524320734890066e-10 4.997417471901555e-01 4.997417471901555e-01 5.026172485267318e+01 4.266811385776949e-04 -5.058450847046803e-01 5.247188081124687e-01 5.243196638916640e-01
4 0.22 1.030762412915360e+00 -1.908933156754615e-12 1.631694122484905e-10 4.997375119778022e-01 4.997375119778022e-01 5.026745307837069e+01 4.016462661105571e-04 -4.517466120426246e-01 5.262035768552508e-01 5.258073590071825e-01
4 0.23 1.030809291308927e+00 -3.355756271036059e-12 1.725385926378075e-10 4.997344448344699e-01 4.997344448344699e-01 5.027267540424460e+01 3.824679568329058e-04 -4.061134534519561e-01 5.275429252675395e-01 5.271492953518974e-01
4 0.24 1.030852714250822e+00 -4.480653113712219e-12 1.819814730912341e-10 4.997299606340025e-01 4.997299606340025e-01 5.027753493080996e+01 3.677200417267456e-04 -3.677084029041761e-01 5.287591930183561e-01 5.283677898690750e-01
4 0.25 1.030892775847643e+00 -5.313646704652703e-12 1.914854553754140e-10 4.997242028751779e-01 4.997242028751779e-01 5.028204009942257e+01 3.562892205521164e-04 -3.353397676997694e-01 5.298715168023306e-01 5.294820469638982e-01
4 0.26 1.030929657062639e+00 -5.861141699081714e-12 2.010373430717991e-10 4.997172895895882e-01 4.997172895895882e-01 5.028620929838966e+01 3.473626419255814e-04 -3.080249165290444e-01 5.308959671568243e-01 5.305082001600874e-01
4 0.27 1.030963584923200e+00 -6.128573886706869e-12 2.106211135907136e-10 4.997093189806053e-01 4.997093189806053e-01 5.029006627880577e+01 3.403449239194405e-04 -2.849504756111143e-01 5.318460635232551e-01 5.314598169784986e-01
4 0.28 1.030994805985209e+00 -6.120491624551952e-12 2.202183280239485e-10 4.997003732236199e-01 4.997003732236199e-01 5.029363717021449e+01 3.347966879351511e-04 -2.654408544665650e-01 5.327331971395904e-01 5.323483254909461e-01
4 0.29 1.031023569417133e+00 -5.840756443782870e-12 2.298083669038551e-10 4.996905214724349e-01 4.996905214724349e-01 5.029694856991529e+01 3.303912908039364e-04 -2.489331969167834e-01 5.335669795619963e-01 5.331831352461391e-01
4 0.3 1.031050116566945e+00 -5.292588221506253e-12 2.393687220125683e-10 4.996798222565820e-01 4.996798222565820e-01 5.030002635691478e+01 3.268841390035242e-04 -2.349573083538757e-01 5.343555308952056e-01 5.339705872949589e-01
4 0.31 1.031074674872120e+00 -4.478780928546661e-12 2.488754808561941e-10 4.996683254054474e-01 4.996683254054474e-01 5.030289499229855e+01 3.240907715931477e-04 -2.231194684631870e-01 5.351057189214469e-01 5.347196126350472e-01
4 0.32 1.031097454651769e+00 -3.401644208613590e-12 2.583036157501123e-10 4.996560736008577e-01 4.996560736008577e-01 5.030557714322840e+01 3.218710997283576e-04 -2.130893014436259e-01 5.358233580664316e-01 5.354360372516694e-01
4 0.33 1.031118647783807e+00 -2.063103703593534e-12 2.676275891940393e-10 4.996431036352454e-01 4.996431036352454e-01 5.030809351933623e+01 3.201179988913842e-04 -2.045890700532297e-01 5.365133753798208e-01 5.361247971206419e-01
4 0.34 1.031138427588035e+00 -4.646857322319298e-13 2.768217794367470e-10 4.996294474346751e-01 4.996294474346751e-01 5.031046284565580e+01 3.187489987525698e-04 -1.973849044885914e-01 5.371799493231675e-01 5.367900776170224e-01
4 0.35 1.031156949454471e+00 1.392437970645203e-12 2.858610306192971e-10 4.996151328928056e-01 4.996151328928056e-01 5.031270192054731e+01 3.177001912969484e-04 -1.912795857078732e-01 5.378266260640648e-01 5.374354302779987e-01
4 0.36 1.031174351906577e+00 3.507504711761631e-12 2.947212307572066e-10 4.996001845519755e-01 4.996001845519755e-01 5.031482572381361e+01 3.169217370742732e-04 -1.861065849878357e-01 5.384564171054329e-01 5.380638707876817e-01
4 0.37 1.031190615643742e+00 5.812353457604886e-12 3.028807893940820e-10 4.995838156647634e-01 4.995838156647634e-01 5.031684264052564e+01 3.163751732015891e-04 -1.817232060975179e-01 5.390718813835829e-01 5.386779613460285e-01
4 0.38 1.031205908333948e+00 8.314129464449445e-12 3.114930973976900e-10 4.995663882197351e-01 4.995663882197351e-01 5.031876635798253e+01 3.160283881488510e-04 -1.780098317578495e-01 5.396751861098630e-01 5.392798633239494e-01
4 0.39 1.031220411908997e+00 1.107162893101408e-11 3.198872064033524e-10 4.995484097136733e-01 4.995484097136733e-01 5.032061019669329e+01 3.158571971059779e-04 -1.748679259380706e-01 5.402681781628365e-01 5.398714310673552e-01
4 0.4 1.031234210256234e+00 1.408544330977951e-11 3.280465941197627e-10 4.995298925589874e-01 4.995298925589874e-01 5.032238326160300e+01 3.158423625242635e-04 -1.722119661876311e-01 5.408524319338407e-01 5.404542435997468e-01
4 0.41 1.031247377147113e+00 1.735677704884057e-11 3.359574821426678e-10 4.995108482666079e-01 4.995108482666079e-01 5.032409355174117e+01 3.159682134355348e-04 -1.699693878325226e-01 5.414292876281531e-01 5.410296423483690e-01
4 0.42 1.031259977382420e+00 2.088712711798736e-11 3.436084009143669e-10 4.994912875783679e-01 4.994912875783679e-01 5.032574808498213e+01 3.162221255266045e-04 -1.680785765697396e-01 5.419998864463282e-01 5.415987694824577e-01
4 0.43 1.031272067838045e+00 2.467808768237155e-11 3.509900617781172e-10 4.994712205686266e-01 4.994712205686266e-01 5.032735301223910e+01 3.165938844832484e-04 -1.664871816461607e-01 5.425652003794783e-01 5.421625977669660e-01
4 0.44 1.031283698408739e+00 2.873127048530609e-11 3.580951274521980e-10 4.994506567259651e-01 4.994506567259651e-01 5.032891372065894e+01 3.170751920192814e-04 -1.651506957195190e-01 5.431260574624520e-01 5.427219558619092e-01
4 0.45 1.031294912853350e+00 3.304834061755508e-11 3.649177942643516e-10 4.994296050190556e-01 4.994296050190556e-01 5.033043492614673e+01 3.176592802504278e-04 -1.640312575822640e-01 5.436831631920005e-01 5.432775497771917e-01
4 0.46 1.031305749547335e+00 3.763085902043499e-11 3.714535655198140e-10 4.994080739500958e-01 4.994080739500958e-01 5.033192075581475e+01 3.183406088364944e-04 -1.630966415256157e-01 5.442371187034406e-01 5.438299810784881e-01
