# Black Hole
# 1:iter 2:time 3:x 4:y 5:z 6:vx 7:vy 8:vz
0 0 -0.2256765070778904148 9.070566998905491118 -7.934806334497116525e-17 3.263548995207767975e-08 6.63844890164941347e-09 -1.269569013519538644e-15
1 0.0625 -0.2256764968996024245 9.07056700276935679 -5.351339972933702616e-16 1.62852607825283351e-07 6.182185753852319927e-08 -7.292574943174385738e-15
2 0.125 -0.2256764712516627636 9.070567016990812803 -1.359486422064902567e-15 4.103670347955823417e-07 2.27543293778825135e-07 -1.318963879634451688e-14
3 0.1875 -0.2256764240570657276 9.070567053888250797 -1.797789882476447762e-15 7.551135527591374076e-07 5.903589953029335061e-07 -7.012855366584722334e-15
4 0.25 -0.2256763526254287056 9.0705671335836211 -3.443235918624453637e-16 1.142906192558430093e-06 1.275125934501901675e-06 2.325546064982403837e-14
5 0.3125 -0.2256762592133772782 9.070567287344394103 4.870639396902349816e-15 1.494592822918052277e-06 2.460172381984458796e-06 8.343940782023672603e-14
6 0.375 -0.2256761519210106481 9.070567561740409346 1.563450623813752307e-14 1.716677866169878365e-06 4.390336240932404852e-06 1.722218694597627594e-13
7 0.4375 -0.2256760450382719052 9.070568023339887986 3.351443754633040049e-14 1.710123820044532496e-06 7.385591657518792199e-06 2.860789009310860387e-13
8 0.5 -0.2256759591390399833 9.070568763658787503 6.01934691050665101e-14 1.374387710678049681e-06 1.184510239630036646e-05 4.268645049397778043e-13
9 0.5625 -0.2256759212582391816 9.07056990419738618 9.815945625676476314e-14 6.060928126163351391e-07 1.824861758711447356e-05 6.074557944271721495e-13
10 0.625 -0.2256759653563866208 9.070571601564264341 1.514361282284765085e-13 -7.055703589389198351e-07 2.715787004019042678e-05 8.524267515473879259e-13
11 0.6875 -0.225676133080546848 9.070574052777701013 2.260522163148389422e-13 -2.683586563797742496e-06 3.921941497603562219e-05 1.193857409381799141e-12
12 0.75 -0.2256764747188624853 9.070577500760640177 3.301157071720125039e-13 -5.466213050131767809e-06 5.516772701814066498e-05 1.665015853714776583e-12
